,batch_size,model,image_size,job_type,num_img,gpu,time
174,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.595161437988281
175,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.591612815856934
176,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.593336582183838
177,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.591260194778442
178,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.595337390899658
179,1,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.592119216918945
180,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.0627121925354
181,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.069592714309692
182,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.048446416854858
183,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.05560040473938
184,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.029597282409668
185,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.053605794906616
186,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.0265514850616455
187,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.036017417907715
188,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.0437047481536865
189,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,4.042136907577515
190,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.95991849899292
191,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.976113796234131
192,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.97551155090332
193,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.976208925247192
194,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.97767448425293
195,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.979074716567993
196,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.97913384437561
197,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.980266571044922
198,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.9735941886901855
199,1,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.97820782661438
200,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.8632407188415527
201,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.5568022727966309
202,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.5530977249145508
203,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.5561106204986572
204,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.5545449256896973
205,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.5564720630645752
206,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.554936408996582
207,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.5625817775726318
208,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.556976079940796
209,16,SWAGenerator,512,random,200,NVIDIA GeForce RTX 3090,1.5652494430541992
210,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.7769925594329834
211,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.0943870544433594
212,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.0932793617248535
213,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.1042871475219727
214,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.106780767440796
215,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.0954055786132812
216,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.0971567630767822
217,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.0967283248901367
218,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.089191436767578
219,16,SWAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,3.087806463241577
220,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.2085936069488525
221,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.135274648666382
222,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.1359646320343018
223,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.1375069618225098
224,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.1374504566192627
225,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.139622926712036
226,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.140514373779297
227,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.1440815925598145
228,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.143650770187378
229,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce RTX 3090,2.1427083015441895
230,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,5.222679138183594
231,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.9728169441223145
232,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.967378854751587
233,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.967967748641968
234,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.975143194198608
235,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.968356132507324
236,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.9764978885650635
237,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,5.00057315826416
238,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.978652000427246
239,16,Style2ADAGenerator,512,random,200,NVIDIA GeForce GTX 1080 Ti,4.9728968143463135
240,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,7.120990037918091
241,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.99686598777771
242,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,7.024267196655273
243,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.993302822113037
244,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.99012303352356
245,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.99466347694397
246,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.993180990219116
247,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.999515056610107
248,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.989449977874756
249,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,6.995127201080322
250,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.193020582199097
251,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.15589952468872
252,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.162707805633545
253,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.162099123001099
254,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.143879652023315
255,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.138302564620972
256,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.139634847640991
257,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.131218433380127
258,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.142074823379517
259,1,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.141967058181763
260,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.103766679763794
261,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.118048191070557
262,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.128758907318115
263,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.146239519119263
264,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.154539346694946
265,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.156893730163574
266,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.157046794891357
267,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.159097909927368
268,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.15973949432373
269,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,8.160608053207397
270,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.967584371566772
271,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.953735589981079
272,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.969273090362549
273,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.973163366317749
274,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.969784259796143
275,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.974624395370483
276,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.971527338027954
277,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.97371792793274
278,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.973872900009155
279,1,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,9.969316482543945
280,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.0814743041992188
281,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.089935302734375
282,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.088263988494873
283,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.1008520126342773
284,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.0965561866760254
285,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.0982799530029297
286,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.0956387519836426
287,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.098705291748047
288,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.094632625579834
289,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.0949225425720215
290,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.153367280960083
291,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.173459768295288
292,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.1638853549957275
293,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.164191961288452
294,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.1842732429504395
295,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.185364484786987
296,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.1672203540802
297,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.170847654342651
298,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.167932510375977
299,16,SWAGenerator,512,interpolation,400,NVIDIA GeForce GTX 1080 Ti,6.150230646133423
300,16,Style2ADAGenerator,512,interpolation,400,NVIDIA GeForce RTX 3090,3.940917730331421
