device,model,size,batch_size,ms / img (sync),std dev (sync),ms / img (no sync),std dev (no sync)
GTX 1080 Ti,Style1Generator,1024,1,39.117,1.989,23.785,12.144
GTX 1080 Ti,Style1Generator,256,2,4.136,0.484,2.719,0.137
GTX 1080 Ti,Style1Generator,512,2,11.010,0.231,6.864,3.128
GTX 1080 Ti,Style1Generator,1024,2,34.900,1.557,21.727,12.080
GTX 1080 Ti,Style1Generator,256,4,3.111,0.177,1.726,0.605
GTX 1080 Ti,Style1Generator,512,4,9.443,0.201,5.936,3.112
GTX 1080 Ti,Style1Generator,1024,4,35.606,0.702,20.976,12.616
GTX 1080 Ti,Style1Generator,256,8,2.544,0.031,1.450,0.757
GTX 1080 Ti,Style1Generator,512,8,8.711,0.102,5.521,3.160
GTX 1080 Ti,Style1Generator,1024,8,34.745,0.145,20.769,12.954
GTX 1080 Ti,Style1Generator,256,10,2.438,0.098,1.382,0.786
GTX 1080 Ti,Style1Generator,512,10,8.523,0.036,5.426,3.183
GTX 1080 Ti,Style1Generator,1024,10,34.119,0.115,20.542,12.935
GTX 1080 Ti,Style1Generator,256,12,2.363,0.045,1.344,0.781
GTX 1080 Ti,Style1Generator,512,12,8.430,0.122,5.363,3.174
GTX 1080 Ti,Style1Generator,1024,12,33.931,0.126,20.320,12.840
GTX 1080 Ti,Style1Generator,256,14,2.317,0.017,1.328,0.791
GTX 1080 Ti,Style1Generator,512,14,8.348,0.035,5.316,3.201
GTX 1080 Ti,Style1Generator,1024,14,33.872,0.059,20.250,12.858
GTX 1080 Ti,Style2Generator,256,1,17.260,0.088,17.025,0.130
GTX 1080 Ti,Style2Generator,512,1,24.671,0.250,23.805,0.178
GTX 1080 Ti,Style2Generator,1024,1,39.237,0.122,35.919,0.220
GTX 1080 Ti,Style2Generator,256,2,15.374,0.082,15.129,0.061
GTX 1080 Ti,Style2Generator,512,2,22.322,0.089,21.535,0.069
GTX 1080 Ti,Style2Generator,1024,2,36.653,0.088,33.702,0.045
GTX 1080 Ti,Style2Generator,256,4,14.469,0.084,14.280,0.126
GTX 1080 Ti,Style2Generator,512,4,21.564,0.162,20.814,0.156
GTX 1080 Ti,Style2Generator,1024,4,38.181,0.234,32.798,0.215
GTX 1080 Ti,Style2Generator,256,8,14.207,0.276,13.908,0.135
GTX 1080 Ti,Style2Generator,512,8,21.096,0.204,20.363,0.182
GTX 1080 Ti,Style2Generator,1024,8,37.849,0.197,32.384,0.146
GTX 1080 Ti,Style2Generator,256,10,14.102,0.229,13.855,0.125
GTX 1080 Ti,Style2Generator,512,10,20.904,0.127,20.237,0.179
GTX 1080 Ti,Style2Generator,1024,10,37.482,0.183,32.416,0.247
GTX 1080 Ti,Style2Generator,256,12,13.904,0.108,13.690,0.137
GTX 1080 Ti,Style2Generator,512,12,21.414,0.144,20.173,0.201
GTX 1080 Ti,Style2Generator,1024,12,37.394,0.199,32.130,0.138
GTX 1080 Ti,Style2Generator,256,14,13.892,0.087,13.737,0.104
GTX 1080 Ti,Style2Generator,512,14,21.512,0.174,20.053,0.167
GTX 1080 Ti,Style2Generator,1024,14,37.038,0.128,32.145,0.107
GTX 1080 Ti,Style2ADAGenerator,256,1,17.716,0.178,11.503,1.700
GTX 1080 Ti,Style2ADAGenerator,512,1,25.671,0.216,15.574,4.878
GTX 1080 Ti,Style2ADAGenerator,1024,1,41.969,0.315,25.845,10.645
GTX 1080 Ti,Style2ADAGenerator,256,2,15.539,1.264,9.089,4.162
GTX 1080 Ti,Style2ADAGenerator,512,2,23.106,0.422,15.103,7.531
GTX 1080 Ti,Style2ADAGenerator,1024,2,38.986,0.255,25.153,12.941
GTX 1080 Ti,Style2ADAGenerator,256,4,14.086,0.462,8.557,5.034
GTX 1080 Ti,Style2ADAGenerator,512,4,21.735,0.216,14.341,7.863
GTX 1080 Ti,Style2ADAGenerator,1024,4,39.863,0.181,24.340,13.894
GTX 1080 Ti,Style2ADAGenerator,256,8,13.728,0.081,8.550,5.896
GTX 1080 Ti,Style2ADAGenerator,512,8,21.789,0.270,14.643,8.730
GTX 1080 Ti,Style2ADAGenerator,1024,8,40.046,0.148,24.618,14.983
GTX 1080 Ti,Style2ADAGenerator,256,10,13.315,0.071,8.289,5.754
GTX 1080 Ti,Style2ADAGenerator,512,10,21.410,0.276,14.390,8.598
GTX 1080 Ti,Style2ADAGenerator,1024,10,39.568,0.152,24.331,14.990
GTX 1080 Ti,Style2ADAGenerator,256,12,12.207,0.110,7.768,5.077
GTX 1080 Ti,Style2ADAGenerator,512,12,20.897,0.219,13.574,8.237
GTX 1080 Ti,Style2ADAGenerator,1024,12,38.499,0.151,23.534,14.596
GTX 1080 Ti,Style2ADAGenerator,256,14,11.922,0.058,7.592,4.999
GTX 1080 Ti,Style2ADAGenerator,512,14,20.500,0.133,13.431,8.232
GTX 1080 Ti,Style2ADAGenerator,1024,14,38.217,0.119,23.376,14.624
GTX 1080 Ti,SWAGenerator,256,1,18.410,0.472,18.089,0.509
GTX 1080 Ti,SWAGenerator,512,1,24.327,0.765,22.727,0.312
GTX 1080 Ti,SWAGenerator,1024,1,34.181,0.528,30.735,0.240
GTX 1080 Ti,SWAGenerator,256,2,14.031,0.319,13.791,0.281
GTX 1080 Ti,SWAGenerator,512,2,18.894,0.116,18.213,0.236
GTX 1080 Ti,SWAGenerator,1024,2,29.197,0.701,25.843,0.236
GTX 1080 Ti,SWAGenerator,256,4,11.796,0.131,11.593,0.115
GTX 1080 Ti,SWAGenerator,512,4,16.631,0.175,15.808,0.107
GTX 1080 Ti,SWAGenerator,1024,4,28.971,0.725,23.470,0.148
GTX 1080 Ti,SWAGenerator,256,8,10.824,0.123,10.647,0.185
GTX 1080 Ti,SWAGenerator,512,8,15.657,0.245,14.828,0.182
GTX 1080 Ti,SWAGenerator,1024,8,27.321,0.168,22.422,0.232
GTX 1080 Ti,SWAGenerator,256,10,10.680,0.184,10.447,0.161
GTX 1080 Ti,SWAGenerator,512,10,15.519,0.185,14.610,0.167
